,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.06968188285827637,31,0,0,0,0,0,0.0
1,True,0.17500567436218262,61,5,3,4,3,2,0.6666666666666666
2,True,0.05567455291748047,21,0,0,0,0,0,0.0
3,True,0.27379703521728516,130,15,3,3,1,4,1.3833333333333333
4,True,0.10413861274719238,32,0,0,0,0,0,0.0
5,True,0.07850265502929688,36,1,1,1,1,1,0.5769230769230769
6,True,0.15407490730285645,46,2,1,1,1,1,0.5
7,True,0.07728862762451172,41,2,1,1,1,1,0.6451612903225806
8,True,0.17984914779663086,82,4,3,4,3,2,0.6388888888888888
9,True,0.0800027847290039,38,2,2,1,1,2,0.8571428571428571
10,True,0.09346842765808105,28,0,0,0,0,0,0.0
11,True,0.13392043113708496,62,6,2,4,2,2,0.46153846153846156
12,True,0.4970998764038086,215,25,2,3,2,4,0.7073170731707317
13,True,0.23399710655212402,90,6,2,3,1,3,0.975
14,True,0.10344219207763672,58,6,4,4,3,2,0.7708333333333334
15,True,0.15556788444519043,58,3,1,2,1,2,1.1458333333333333
16,True,0.20371246337890625,75,5,1,3,1,2,1.3076923076923077
17,True,0.09898900985717773,45,2,1,1,1,1,0.2571428571428571
18,True,0.680992841720581,381,41,4,6,4,6,1.1347708894878705
19,True,0.593153715133667,237,21,4,5,4,3,0.8766519823788547
20,True,0.06342434883117676,27,0,0,0,0,0,0.0
21,True,0.0627295970916748,30,0,0,0,0,0,0.0
22,True,0.18993592262268066,79,8,3,5,3,4,1.0
23,True,0.15853667259216309,46,1,1,1,1,1,0.027777777777777776
24,True,0.3987698554992676,168,12,2,3,2,3,0.9240506329113924
25,True,0.08122062683105469,35,1,1,1,1,1,0.64
26,True,0.1292736530303955,36,1,1,1,1,1,0.4230769230769231
27,True,0.21052122116088867,78,9,1,3,1,2,0.47058823529411764
28,True,0.1553177833557129,56,4,2,3,1,1,0.2826086956521739
29,True,0.08690571784973145,23,0,0,0,0,0,0.0
30,True,0.10448384284973145,41,1,1,1,1,1,0.7741935483870968
31,True,0.24190282821655273,91,9,3,5,3,5,1.1111111111111112
32,True,0.10039520263671875,30,0,0,0,0,0,0.0
33,True,0.07449817657470703,35,0,0,0,0,0,0.0
34,True,0.984285831451416,545,64,3,5,2,4,0.7925233644859813
35,True,0.1289534568786621,36,0,0,0,0,0,0.0
36,True,0.10618710517883301,65,4,2,4,2,2,0.7090909090909091
37,True,0.09942269325256348,30,0,0,0,0,0,0.0
38,True,0.06862759590148926,30,0,0,0,0,0,0.0
39,True,0.05904889106750488,28,0,0,0,0,0,0.0
40,True,0.10494160652160645,29,0,0,0,0,0,0.0
41,True,0.26316070556640625,108,12,2,3,1,3,0.7857142857142857
42,True,0.09261035919189453,34,0,0,0,0,0,0.0
43,True,0.099761962890625,29,0,0,0,0,0,0.0
44,True,0.7717740535736084,340,40,3,7,3,3,0.9787878787878788
45,True,0.055013418197631836,21,0,0,0,0,0,0.0
46,True,0.17802166938781738,62,1,1,1,1,1,0.25
47,True,0.13793706893920898,35,0,0,0,0,0,0.0
48,True,0.06440353393554688,28,0,0,0,0,0,0.0
49,True,0.07567334175109863,34,1,1,1,1,1,0.4583333333333333
50,True,0.11926865577697754,29,0,0,0,0,0,0.0
51,True,0.061045169830322266,27,0,0,0,0,0,0.0
52,True,0.10058164596557617,35,1,1,1,1,1,0.04
53,True,0.3224794864654541,160,18,2,6,2,4,1.0333333333333334
