,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.13483929634094238,31,0,0,0,0,0,0.0
1,True,0.3605618476867676,115,9,6,6,4,3,0.8952380952380953
2,True,0.0562593936920166,21,0,0,0,0,0,0.0
3,True,0.24990463256835938,73,5,3,3,2,3,0.9523809523809523
4,True,0.0715177059173584,32,0,0,0,0,0,0.0
5,True,0.13066816329956055,41,1,1,1,1,1,0.16129032258064516
6,True,0.133406400680542,48,2,2,2,2,2,1.0263157894736843
7,True,0.08536529541015625,48,1,1,1,1,1,0.23684210526315788
8,True,0.2483835220336914,95,6,3,5,3,3,1.011764705882353
9,True,0.11796331405639648,59,5,5,4,4,2,0.5510204081632653
10,True,0.09503698348999023,28,0,0,0,0,0,0.0
11,True,0.3178582191467285,110,12,3,7,4,7,1.37
12,True,0.42142295837402344,113,9,4,3,2,5,1.6019417475728155
13,True,0.23203754425048828,53,6,4,3,3,6,3.0697674418604652
14,True,0.1072394847869873,58,3,3,2,3,2,0.3958333333333333
15,True,0.18863439559936523,45,5,3,3,2,5,3.2
16,True,0.24054956436157227,67,4,4,2,2,2,0.543859649122807
17,True,0.14095520973205566,63,3,3,2,1,2,0.7358490566037735
18,True,0.7050116062164307,311,34,7,7,8,7,0.7674418604651163
19,True,0.6897172927856445,206,23,8,7,5,4,1.0918367346938775
20,True,0.0627901554107666,27,0,0,0,0,0,0.0
21,True,0.09883832931518555,30,0,0,0,0,0,0.0
22,True,1.9562768936157227,718,74,6,9,4,7,1.1327683615819208
23,True,0.13207674026489258,48,1,1,1,1,1,0.07894736842105263
24,True,0.15793490409851074,49,2,2,1,1,2,0.3076923076923077
25,True,0.12934350967407227,41,1,1,1,1,1,0.22580645161290322
26,True,0.10052847862243652,36,1,1,1,1,1,0.4230769230769231
27,True,0.2012338638305664,67,4,3,2,2,3,0.42105263157894735
28,True,0.20499610900878906,64,2,2,1,1,2,0.5555555555555556
29,True,0.06211256980895996,23,0,0,0,0,0,0.0
30,True,0.22517085075378418,44,6,3,4,2,6,3.7941176470588234
31,True,0.5395591259002686,223,28,9,6,5,9,2.07981220657277
32,True,0.0672764778137207,30,0,0,0,0,0,0.0
33,True,0.07535839080810547,35,0,0,0,0,0,0.0
34,True,0.5791738033294678,191,17,7,5,4,3,0.8121546961325967
35,True,0.12569808959960938,36,0,0,0,0,0,0.0
36,True,0.11571335792541504,44,3,2,3,2,2,0.6764705882352942
37,True,0.06881952285766602,30,0,0,0,0,0,0.0
38,True,0.06904220581054688,30,0,0,0,0,0,0.0
39,True,0.060694217681884766,28,0,0,0,0,0,0.0
40,True,0.09836626052856445,29,0,0,0,0,0,0.0
41,True,0.09845256805419922,36,1,1,1,1,1,0.7307692307692307
42,True,0.09385013580322266,34,0,0,0,0,0,0.0
43,True,0.06263422966003418,29,0,0,0,0,0,0.0
44,True,0.4164767265319824,138,11,6,6,4,3,1.046875
45,True,0.08100771903991699,21,0,0,0,0,0,0.0
46,True,0.15044927597045898,54,1,1,1,1,1,0.13636363636363635
47,True,0.13512921333312988,35,0,0,0,0,0,0.0
48,True,0.06576418876647949,28,0,0,0,0,0,0.0
49,True,0.10742568969726562,34,1,1,1,1,1,0.4583333333333333
50,True,0.09259295463562012,29,0,0,0,0,0,0.0
51,True,0.061448097229003906,27,0,0,0,0,0,0.0
52,True,0.07907319068908691,38,1,1,1,1,1,0.14285714285714285
53,True,0.22132372856140137,68,9,6,4,5,4,1.7413793103448276
54,True,0.06884264945983887,31,0,0,0,0,0,0.0
55,True,0.21118617057800293,58,3,2,2,2,3,1.125
56,True,0.65378737449646,249,20,7,8,5,4,0.9205020920502092
57,True,0.07305502891540527,39,0,0,0,0,0,0.0
58,True,0.06507372856140137,26,0,0,0,0,0,0.0
59,True,0.09538149833679199,45,1,1,1,1,1,0.2
60,True,0.22909092903137207,63,5,4,3,5,3,0.8301886792452831
61,True,0.10472869873046875,47,2,1,2,1,1,0.3783783783783784
62,True,0.2089366912841797,62,5,2,4,2,3,0.9038461538461539
63,True,0.5227622985839844,116,11,4,3,3,6,1.2264150943396226
64,True,0.14921092987060547,56,3,2,2,2,3,0.8260869565217391
65,True,0.16731047630310059,74,2,2,2,2,1,0.453125
66,True,0.12632203102111816,56,3,2,2,2,2,0.8260869565217391
67,True,0.10537338256835938,44,1,1,1,1,1,0.4411764705882353
68,True,0.15691852569580078,40,1,1,1,1,1,0.7
69,True,0.07179903984069824,34,1,1,1,1,1,0.375
70,True,0.10559844970703125,32,0,0,0,0,0,0.0
71,True,0.06128525733947754,24,0,0,0,0,0,0.0
72,True,0.1589663028717041,42,1,1,1,1,1,0.78125
73,True,0.17023253440856934,90,6,5,4,5,4,0.8
74,True,0.13432049751281738,39,1,1,1,1,1,0.10344827586206896
75,True,0.13576102256774902,70,3,3,2,3,3,0.6666666666666666
76,True,0.09952330589294434,31,0,0,0,0,0,0.0
77,True,0.18114161491394043,39,3,2,3,2,3,1.4137931034482758
78,True,0.061269521713256836,26,0,0,0,0,0,0.0
79,True,0.16959667205810547,85,7,4,5,5,3,0.9066666666666666
80,True,0.8377881050109863,304,32,6,7,4,5,0.9625850340136054
81,True,0.0897531509399414,27,0,0,0,0,0,0.0
82,True,0.24022221565246582,133,12,5,6,4,5,1.1300813008130082
83,True,0.07527899742126465,30,0,0,0,0,0,0.0
84,True,0.11546874046325684,42,1,1,1,1,1,0.125
85,True,0.1224510669708252,45,1,1,1,1,1,0.4
86,True,0.0782158374786377,35,0,0,0,0,0,0.0
87,True,0.08150196075439453,32,0,0,0,0,0,0.0
88,True,0.06305146217346191,24,0,0,0,0,0,0.0
89,True,0.05676388740539551,20,0,0,0,0,0,0.0
90,True,0.13641357421875,50,1,1,1,1,1,0.725
91,True,0.20214223861694336,47,3,2,2,2,3,2.108108108108108
92,True,0.2145538330078125,93,6,3,4,4,3,1.0120481927710843
93,True,0.4932897090911865,190,19,7,8,6,7,1.1277777777777778
94,True,0.15031027793884277,42,2,1,1,1,2,0.84375
95,True,0.08792543411254883,47,2,1,2,2,2,0.5405405405405406
96,True,0.13561081886291504,40,0,0,0,0,0,0.0
97,True,0.06807613372802734,35,0,0,0,0,0,0.0
98,True,0.1652371883392334,46,1,1,1,1,1,0.2777777777777778
99,True,0.06597089767456055,35,1,1,1,1,1,0.2
100,True,0.06310439109802246,26,0,0,0,0,0,0.0
101,True,0.25235795974731445,85,6,4,4,3,4,0.8133333333333334
102,True,0.15665817260742188,70,3,3,3,3,3,0.6
103,True,0.05880022048950195,26,0,0,0,0,0,0.0
104,True,0.2346045970916748,61,5,4,2,2,5,1.588235294117647
105,True,0.3653073310852051,113,9,2,4,2,3,0.7864077669902912
106,True,0.1301710605621338,37,2,2,1,1,2,1.4444444444444444
107,True,0.10503482818603516,37,0,0,0,0,0,0.0
108,True,0.10744738578796387,33,1,1,1,1,1,0.34782608695652173
109,True,0.0713958740234375,31,0,0,0,0,0,0.0
110,True,0.08559584617614746,38,1,1,1,1,1,0.6071428571428571
111,True,0.32579874992370605,84,11,6,5,5,5,0.8783783783783784
112,True,0.11043453216552734,49,2,2,2,2,1,0.5128205128205128
113,True,0.11636495590209961,39,0,0,0,0,0,0.0
114,True,0.10191822052001953,39,0,0,0,0,0,0.0
115,True,0.09173417091369629,46,2,2,2,1,1,0.2777777777777778
116,True,0.10044074058532715,39,0,0,0,0,0,0.0
117,True,0.07137846946716309,29,0,0,0,0,0,0.0
118,True,0.13599705696105957,40,0,0,0,0,0,0.0
119,True,0.16389060020446777,49,3,3,3,3,3,1.2820512820512822
120,True,0.7782559394836426,292,27,9,9,8,6,1.053191489361702
121,True,0.10975885391235352,35,0,0,0,0,0,0.0
122,True,0.09151744842529297,49,1,1,1,1,1,0.15384615384615385
123,True,0.08271121978759766,39,0,0,0,0,0,0.0
124,True,0.09864068031311035,40,0,0,0,0,0,0.0
125,True,0.14190411567687988,55,2,2,2,2,1,0.2222222222222222
126,True,0.08954977989196777,37,0,0,0,0,0,0.0
127,True,0.1975572109222412,99,5,4,3,3,3,0.6404494382022472
128,True,0.09176206588745117,41,1,1,1,1,1,0.6451612903225806
129,True,0.10598087310791016,34,0,0,0,0,0,0.0
130,True,0.12619709968566895,46,3,3,2,1,3,0.3333333333333333
