,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.1346743106842041,31,0,0,0,0,0,0.0
1,True,0.1824185848236084,63,6,4,4,3,5,2.5283018867924527
2,True,0.0902414321899414,21,0,0,0,0,0,0.0
3,True,1.3906099796295166,412,48,3,3,1,8,1.007462686567164
4,True,0.06993770599365234,32,0,0,0,0,0,0.0
5,True,0.08534646034240723,36,1,1,1,1,1,0.5769230769230769
6,True,0.1287376880645752,39,2,1,1,1,2,0.7931034482758621
7,True,0.07688093185424805,36,1,1,1,1,1,0.6538461538461539
8,True,0.985792875289917,419,44,6,8,3,6,0.8801955990220048
9,True,0.10906600952148438,38,1,1,1,1,1,0.6071428571428571
10,True,0.06642031669616699,28,0,0,0,0,0,0.0
11,True,0.14063382148742676,41,3,2,3,2,3,1.8064516129032258
12,True,3.235884428024292,896,93,3,6,2,11,1.0756207674943568
13,True,0.5224454402923584,113,11,3,3,1,6,0.9805825242718447
14,True,0.11159348487854004,48,4,3,3,3,2,0.5263157894736842
15,True,0.32932472229003906,89,11,3,3,1,3,1.4936708860759493
16,True,0.27898573875427246,73,6,2,3,1,3,1.0317460317460319
17,True,0.13138508796691895,51,3,2,1,1,1,0.3170731707317073
18,True,1.229241132736206,523,63,5,9,4,6,0.9766081871345029
19,True,0.7638247013092041,137,17,3,4,2,5,1.4645669291338583
20,True,0.06365060806274414,27,0,0,0,0,0,0.0
21,True,0.0633089542388916,30,0,0,0,0,0,0.0
22,True,2.2366943359375,773,86,6,8,4,7,1.017038007863696
23,True,0.12904906272888184,45,1,1,1,1,1,0.2857142857142857
24,True,0.3236393928527832,97,11,3,4,2,6,1.4252873563218391
25,True,0.11437559127807617,35,1,1,1,1,1,0.64
26,True,0.1234443187713623,57,3,2,2,1,3,0.46808510638297873
27,True,0.13678359985351562,38,2,1,1,1,2,1.4642857142857142
28,True,0.20905494689941406,59,3,2,2,1,2,0.9795918367346939
29,True,0.0595400333404541,23,0,0,0,0,0,0.0
30,True,1.1501481533050537,394,41,5,9,4,8,1.1354166666666667
31,True,0.4760162830352783,113,14,3,5,3,6,1.3009708737864079
32,True,0.09649944305419922,30,0,0,0,0,0,0.0
33,True,0.07599353790283203,35,0,0,0,0,0,0.0
34,True,0.23462772369384766,57,10,3,3,1,10,5.8936170212765955
35,True,0.0962066650390625,36,0,0,0,0,0,0.0
36,True,0.16617321968078613,60,5,2,4,2,2,1.02
37,True,0.06877470016479492,30,0,0,0,0,0,0.0
38,True,0.06952142715454102,30,0,0,0,0,0,0.0
39,True,0.08718013763427734,28,0,0,0,0,0,0.0
40,True,0.0706791877746582,29,0,0,0,0,0,0.0
41,True,0.36931920051574707,112,17,3,3,1,5,1.5980392156862746
42,True,0.12392401695251465,34,0,0,0,0,0,0.0
43,True,0.06283116340637207,29,0,0,0,0,0,0.0
44,True,1.600231409072876,495,52,3,8,3,7,0.954639175257732
45,True,0.0547335147857666,21,0,0,0,0,0,0.0
46,True,0.17564892768859863,55,1,1,1,1,1,0.4888888888888889
47,True,0.15512537956237793,35,0,0,0,0,0,0.0
48,True,0.06561708450317383,28,0,0,0,0,0,0.0
49,True,0.1078798770904541,33,1,1,1,1,1,0.43478260869565216
50,True,0.1753826141357422,29,0,0,0,0,0,0.0
51,True,0.06092500686645508,27,0,0,0,0,0,0.0
52,True,0.07757759094238281,35,1,1,1,1,1,0.04
53,True,0.1337873935699463,56,3,2,3,2,3,0.9347826086956522
54,True,0.06879997253417969,31,0,0,0,0,0,0.0
55,True,0.23598837852478027,53,5,1,3,2,5,2.4186046511627906
56,True,0.23334097862243652,57,4,2,2,1,4,1.6808510638297873
57,True,0.07394862174987793,39,0,0,0,0,0,0.0
58,True,0.09782862663269043,26,0,0,0,0,0,0.0
59,True,0.0886530876159668,40,1,1,1,1,1,0.06666666666666667
60,True,0.19343900680541992,68,4,2,3,2,3,0.8793103448275862
61,True,0.09454870223999023,48,1,1,1,1,1,0.07894736842105263
62,True,0.2812676429748535,55,7,2,2,1,3,0.5555555555555556
63,True,0.34935927391052246,58,7,2,4,2,3,1.4166666666666667
64,True,1.3274500370025635,642,69,6,9,4,7,1.1471518987341771
65,True,0.22651171684265137,82,4,2,3,1,2,0.2916666666666667
66,True,0.09660911560058594,44,4,3,3,1,2,0.5294117647058824
67,True,0.11064624786376953,46,2,1,2,1,2,0.3611111111111111
68,True,0.16108059883117676,38,1,1,1,1,1,0.6785714285714286
69,True,0.08192729949951172,43,3,2,2,1,2,0.7575757575757576
70,True,0.07932519912719727,32,0,0,0,0,0,0.0
71,True,0.06118631362915039,24,0,0,0,0,0,0.0
72,True,0.13738059997558594,44,1,1,1,1,1,0.7941176470588235
73,True,0.19774436950683594,81,6,3,5,4,3,0.704225352112676
74,True,0.13213753700256348,40,1,1,1,1,1,0.13333333333333333
75,True,0.11299991607666016,42,1,1,1,1,1,0.40625
76,True,0.1274876594543457,31,0,0,0,0,0,0.0
77,True,0.224320650100708,48,2,2,2,1,2,0.6052631578947368
78,True,0.10666060447692871,26,0,0,0,0,0,0.0
79,True,0.11884617805480957,41,4,2,2,1,4,1.6129032258064515
80,True,1.2424037456512451,397,43,6,6,3,6,0.9095607235142119
81,True,0.09530806541442871,27,0,0,0,0,0,0.0
82,True,4.075433254241943,1190,160,6,7,4,9,1.0745762711864406
83,True,0.07944250106811523,30,0,0,0,0,0,0.0
84,True,0.11165261268615723,38,1,1,1,1,1,0.39285714285714285
85,True,0.1298835277557373,47,2,2,1,1,2,0.32432432432432434
86,True,0.11049938201904297,35,0,0,0,0,0,0.0
87,True,0.0807945728302002,32,0,0,0,0,0,0.0
88,True,0.0634758472442627,24,0,0,0,0,0,0.0
89,True,0.08459854125976562,20,0,0,0,0,0,0.0
