,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.13385796546936035,31,0,0,0,0,0,0.0
1,True,0.6157205104827881,230,21,7,5,6,4,0.9
2,True,0.059902191162109375,21,0,0,0,0,0,0.0
3,True,0.38969969749450684,168,14,5,4,5,4,1.0
4,True,0.06959652900695801,32,0,0,0,0,0,0.0
5,True,0.08493733406066895,38,1,1,1,1,1,0.25
6,True,0.16928672790527344,51,3,3,1,3,2,0.0975609756097561
7,True,0.08206892013549805,48,1,1,1,1,1,0.23684210526315788
8,True,0.4540715217590332,159,18,7,4,6,6,1.5033557046979866
9,True,0.0821990966796875,39,2,2,2,2,2,1.0689655172413792
10,True,0.0672602653503418,28,0,0,0,0,0,0.0
11,True,0.20834755897521973,90,12,5,4,5,4,1.0375
12,True,0.31389617919921875,112,8,6,2,5,4,0.9117647058823529
13,True,0.20583152770996094,60,8,5,2,4,5,1.38
14,True,0.08405423164367676,41,3,3,3,3,3,1.2903225806451613
15,True,0.1535031795501709,43,5,3,1,2,5,2.878787878787879
16,True,0.24715590476989746,86,11,6,3,6,5,1.368421052631579
17,True,0.1029062271118164,49,2,2,1,1,1,0.7435897435897436
18,True,0.26394152641296387,107,7,4,2,4,4,0.6288659793814433
19,True,0.5335264205932617,233,24,9,5,5,5,1.1031390134529149
20,True,0.06376171112060547,27,0,0,0,0,0,0.0
21,True,0.06354761123657227,30,0,0,0,0,0,0.0
22,True,0.4296698570251465,182,17,7,4,5,6,0.9709302325581395
23,True,0.1271066665649414,45,1,1,1,1,1,0.2857142857142857
24,True,0.16390681266784668,45,3,3,2,2,3,1.6
25,True,0.08725929260253906,37,1,1,1,1,1,0.14814814814814814
26,True,0.1251356601715088,38,1,1,1,1,1,0.4642857142857143
27,True,0.134995698928833,59,4,3,2,3,3,0.7551020408163265
28,True,0.19568729400634766,65,3,3,2,2,3,0.5454545454545454
29,True,0.06271839141845703,23,0,0,0,0,0,0.0
30,True,0.7016589641571045,375,37,9,7,9,6,0.9643835616438357
31,True,0.3389756679534912,166,17,7,5,6,7,1.3076923076923077
32,True,0.0677042007446289,30,0,0,0,0,0,0.0
33,True,0.10292172431945801,35,0,0,0,0,0,0.0
34,True,0.22459077835083008,76,9,6,2,5,9,1.7727272727272727
35,True,0.10307955741882324,36,0,0,0,0,0,0.0
36,True,0.13463377952575684,35,3,3,1,3,3,2.28
37,True,0.06911969184875488,30,0,0,0,0,0,0.0
38,True,0.0687723159790039,30,0,0,0,0,0,0.0
39,True,0.08770489692687988,28,0,0,0,0,0,0.0
40,True,0.07022833824157715,29,0,0,0,0,0,0.0
41,True,0.1948716640472412,79,5,4,3,3,3,0.43478260869565216
42,True,0.09455633163452148,34,0,0,0,0,0,0.0
43,True,0.0882253646850586,29,0,0,0,0,0,0.0
44,True,0.4682753086090088,157,16,5,1,3,7,1.2448979591836735
45,True,0.05452680587768555,21,0,0,0,0,0,0.0
46,True,0.17683839797973633,54,1,1,1,1,1,0.13636363636363635
47,True,0.10584378242492676,35,0,0,0,0,0,0.0
48,True,0.09272980690002441,28,0,0,0,0,0,0.0
49,True,0.07816457748413086,34,1,1,1,1,1,0.4583333333333333
50,True,0.0928490161895752,29,0,0,0,0,0,0.0
51,True,0.06164097785949707,27,0,0,0,0,0,0.0
52,True,0.07468223571777344,37,1,1,1,1,1,0.5185185185185185
53,True,0.19919371604919434,85,8,6,4,4,6,1.3733333333333333
54,True,0.06825852394104004,31,0,0,0,0,0,0.0
