,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.1344912052154541,31,0,0,0,0,0,0.0
1,True,0.2904527187347412,87,11,7,1,3,6,2.116883116883117
2,True,0.055954694747924805,21,0,0,0,0,0,0.0
3,True,1.1127700805664062,445,45,8,2,3,8,1.089655172413793
4,True,0.10633301734924316,32,0,0,0,0,0,0.0
5,True,0.08415555953979492,40,1,1,1,1,1,0.13333333333333333
6,True,0.18363046646118164,56,3,3,1,2,1,0.08695652173913043
7,True,0.07341361045837402,38,1,1,1,1,1,0.6785714285714286
8,True,0.3990509510040283,144,13,5,1,2,9,1.6044776119402986
9,True,0.10687422752380371,52,4,3,1,2,2,0.40476190476190477
10,True,0.12594199180603027,28,0,0,0,0,0,0.0
11,True,0.24618220329284668,93,15,7,3,5,7,1.2530120481927711
12,True,5.02420973777771,2014,214,9,4,5,15,1.0294411177644711
13,True,0.16154026985168457,53,6,4,1,3,3,0.8372093023255814
14,True,0.12662649154663086,45,3,2,1,1,3,0.6571428571428571
15,True,0.22169756889343262,78,8,4,1,3,3,1.5588235294117647
16,True,0.2793238162994385,127,9,5,2,3,5,0.5384615384615384
17,True,0.07951164245605469,34,1,1,1,1,1,0.625
18,True,0.4794189929962158,190,18,5,2,3,7,0.9722222222222222
19,True,0.7607719898223877,291,31,9,4,5,7,1.2135231316725978
20,True,0.06363844871520996,27,0,0,0,0,0,0.0
21,True,0.09194517135620117,30,0,0,0,0,0,0.0
22,True,0.2157912254333496,76,5,4,2,2,3,1.303030303030303
23,True,0.13065791130065918,48,1,1,1,1,1,0.07894736842105263
24,True,0.182753324508667,57,5,4,3,3,5,3.0638297872340425
25,True,0.08421015739440918,36,1,1,1,1,1,0.6538461538461539
26,True,0.1392972469329834,41,2,2,1,2,2,0.9032258064516129
27,True,0.17870235443115234,57,8,5,2,3,4,2.276595744680851
28,True,0.16158175468444824,67,1,1,1,1,1,0.3157894736842105
29,True,0.05959916114807129,23,0,0,0,0,0,0.0
30,True,0.4557530879974365,199,20,8,3,4,6,0.9894179894179894
31,True,1.4493460655212402,585,59,9,3,3,9,1.394782608695652
32,True,0.11724257469177246,30,0,0,0,0,0,0.0
33,True,0.07615041732788086,35,0,0,0,0,0,0.0
34,True,1.2739872932434082,545,63,9,2,3,7,0.983177570093458
35,True,0.09483718872070312,36,0,0,0,0,0,0.0
36,True,0.18826007843017578,70,5,4,1,3,2,0.8166666666666667
37,True,0.0682375431060791,30,0,0,0,0,0,0.0
38,True,0.10918855667114258,30,0,0,0,0,0,0.0
39,True,0.060178279876708984,28,0,0,0,0,0,0.0
40,True,0.07060837745666504,29,0,0,0,0,0,0.0
41,True,0.17769217491149902,58,2,2,1,2,2,0.375
42,True,0.13868165016174316,34,0,0,0,0,0,0.0
43,True,0.06299853324890137,29,0,0,0,0,0,0.0
44,True,1.9876458644866943,680,66,8,3,3,7,1.0865671641791044
45,True,0.055068254470825195,21,0,0,0,0,0,0.0
46,True,0.17606449127197266,57,2,2,1,2,2,0.9361702127659575
47,True,0.10599160194396973,35,0,0,0,0,0,0.0
48,True,0.0656578540802002,28,0,0,0,0,0,0.0
49,True,0.08132028579711914,37,1,1,1,1,1,0.1111111111111111
50,True,0.09341287612915039,29,0,0,0,0,0,0.0
51,True,0.08647751808166504,27,0,0,0,0,0,0.0
52,True,0.07313752174377441,33,1,1,1,1,1,0.43478260869565216
53,True,0.15941572189331055,63,6,4,3,3,5,1.5471698113207548
54,True,0.06939339637756348,31,0,0,0,0,0,0.0
55,True,0.5227460861206055,184,18,8,2,3,5,0.8505747126436781
56,True,0.19640350341796875,58,7,4,1,3,4,2.7916666666666665
57,True,0.07354092597961426,39,0,0,0,0,0,0.0
58,True,0.09556245803833008,26,0,0,0,0,0,0.0
59,True,0.08595776557922363,42,1,1,1,1,1,0.09375
60,True,0.17780017852783203,62,4,3,1,1,1,0.4230769230769231
61,True,0.09003257751464844,47,2,2,1,2,2,1.4324324324324325
62,True,0.13621997833251953,44,2,2,2,2,1,0.5
63,True,0.6776142120361328,216,27,8,4,4,4,0.8689320388349514
64,True,2.010955333709717,663,87,9,2,3,7,1.2695252679938744
65,True,0.17345929145812988,45,1,1,1,1,1,0.45714285714285713
66,True,0.07837104797363281,39,2,2,1,1,2,0.4482758620689655
67,True,0.13316655158996582,49,1,1,1,1,1,0.23076923076923078
68,True,0.1159522533416748,40,1,1,1,1,1,0.7
69,True,0.07176375389099121,37,1,1,1,1,1,0.4444444444444444
70,True,0.07967972755432129,32,0,0,0,0,0,0.0
71,True,0.09450173377990723,24,0,0,0,0,0,0.0
72,True,0.12322449684143066,44,1,1,1,1,1,0.7941176470588235
73,True,0.13460731506347656,48,6,5,3,3,6,2.236842105263158
74,True,0.09966254234313965,36,1,1,1,1,1,0.2692307692307692
75,True,0.1486971378326416,60,2,1,1,1,1,0.38
76,True,0.10018157958984375,31,0,0,0,0,0,0.0
77,True,0.21336865425109863,74,9,6,2,3,3,0.5625
78,True,0.08728933334350586,26,0,0,0,0,0,0.0
79,True,0.1175072193145752,59,3,3,2,2,2,0.32653061224489793
80,True,0.20859503746032715,61,8,4,1,2,5,1.9607843137254901
81,True,0.0612943172454834,27,0,0,0,0,0,0.0
82,True,1.232539415359497,465,53,8,2,3,11,1.3186813186813187
83,True,0.07586193084716797,30,0,0,0,0,0,0.0
84,True,0.11768960952758789,39,1,1,1,1,1,0.034482758620689655
85,True,0.14892101287841797,66,4,3,2,1,3,0.6428571428571429
86,True,0.11869072914123535,35,0,0,0,0,0,0.0
87,True,0.0811159610748291,32,0,0,0,0,0,0.0
88,True,0.0637960433959961,24,0,0,0,0,0,0.0
89,True,0.08412575721740723,20,0,0,0,0,0,0.0
90,True,0.15962719917297363,66,1,1,1,1,1,0.39285714285714285
91,True,0.6562626361846924,245,30,8,2,3,7,1.025531914893617
92,True,0.1821739673614502,90,7,4,3,2,3,0.5625
93,True,0.21574068069458008,73,6,5,1,3,5,0.7777777777777778
94,True,0.10971379280090332,42,1,1,1,1,1,0.4375
95,True,0.09729576110839844,61,4,3,2,3,2,0.4117647058823529
96,True,0.12969303131103516,40,0,0,0,0,0,0.0
97,True,0.06841802597045898,35,0,0,0,0,0,0.0
98,True,0.12463593482971191,47,1,1,1,1,1,0.24324324324324326
99,True,0.062265872955322266,30,1,1,1,1,1,0.55
100,True,0.06361722946166992,26,0,0,0,0,0,0.0
101,True,0.5045113563537598,209,26,8,2,3,5,1.3467336683417086
102,True,0.13009428977966309,52,3,3,2,3,2,0.7857142857142857
103,True,0.059967041015625,26,0,0,0,0,0,0.0
104,True,0.21487069129943848,61,4,2,1,2,4,0.7450980392156863
105,True,0.19797348976135254,59,5,4,2,3,2,0.22448979591836735
106,True,0.09729957580566406,39,3,3,1,2,3,2.103448275862069
107,True,0.1313769817352295,37,0,0,0,0,0,0.0
108,True,0.07225847244262695,34,1,1,1,1,1,0.375
109,True,0.09852790832519531,31,0,0,0,0,0,0.0
110,True,0.07939267158508301,37,1,1,1,1,1,0.5925925925925926
111,True,0.48369479179382324,160,19,8,2,3,7,1.0066666666666666
112,True,0.12894415855407715,44,3,2,1,2,3,0.2647058823529412
113,True,0.08443903923034668,39,0,0,0,0,0,0.0
114,True,0.10302948951721191,39,0,0,0,0,0,0.0
115,True,0.0989999771118164,59,2,2,1,1,2,0.5306122448979592
116,True,0.13400912284851074,39,0,0,0,0,0,0.0
117,True,0.07106781005859375,29,0,0,0,0,0,0.0
118,True,0.10587310791015625,40,0,0,0,0,0,0.0
119,True,0.12894368171691895,57,3,3,1,2,2,0.40425531914893614
120,True,0.9784166812896729,440,56,7,4,6,10,1.2069767441860466
121,True,0.07984757423400879,35,0,0,0,0,0,0.0
122,True,0.09637093544006348,57,3,2,1,2,1,0.6170212765957447
123,True,0.08387303352355957,39,0,0,0,0,0,0.0
124,True,0.12579107284545898,40,0,0,0,0,0,0.0
125,True,0.11492609977722168,53,5,4,1,2,3,0.46511627906976744
126,True,0.08876538276672363,37,0,0,0,0,0,0.0
