,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.12998032569885254,31,0,0,0,0,0,0.0
1,True,0.16736364364624023,57,8,3,6,6,5,0.9361702127659575
2,True,0.05663919448852539,21,0,0,0,0,0,0.0
3,True,0.415325403213501,228,24,5,8,5,8,1.1605504587155964
4,True,0.07823681831359863,32,0,0,0,0,0,0.0
5,True,0.08399629592895508,39,1,1,1,1,1,0.034482758620689655
6,True,0.15502357482910156,51,2,1,1,1,2,0.3170731707317073
7,True,0.08076310157775879,45,1,1,1,1,1,0.22857142857142856
8,True,0.3311293125152588,153,12,4,6,5,5,1.006993006993007
9,True,0.10051918029785156,56,3,2,3,1,2,0.7608695652173914
10,True,0.0970010757446289,28,0,0,0,0,0,0.0
11,True,0.11570405960083008,52,3,2,2,2,2,0.47619047619047616
12,True,1.2798802852630615,466,53,5,8,6,6,1.0964912280701755
13,True,0.3190314769744873,88,9,1,5,3,4,1.3974358974358974
14,True,0.09029650688171387,47,4,4,3,4,4,0.9459459459459459
15,True,0.1841871738433838,68,4,2,3,2,2,0.5172413793103449
16,True,0.249375581741333,77,5,2,3,3,2,0.3582089552238806
17,True,0.10387301445007324,48,2,1,2,1,1,0.23684210526315788
18,True,0.18410062789916992,79,7,2,5,3,3,0.463768115942029
19,True,0.733443021774292,332,28,6,7,8,5,0.984472049689441
20,True,0.08898329734802246,27,0,0,0,0,0,0.0
21,True,0.0642859935760498,30,0,0,0,0,0,0.0
22,True,0.5811638832092285,294,28,4,6,6,5,1.0140845070422535
23,True,0.1246938705444336,45,1,1,1,1,1,0.2857142857142857
24,True,0.15955328941345215,42,1,1,1,1,1,0.65625
25,True,0.09278416633605957,37,1,1,1,1,1,0.14814814814814814
26,True,0.1376628875732422,36,1,1,1,1,1,0.4230769230769231
27,True,0.13182902336120605,59,3,1,2,2,2,0.30612244897959184
28,True,0.14768004417419434,52,2,2,2,2,2,1.0476190476190477
29,True,0.06012153625488281,23,0,0,0,0,0,0.0
30,True,0.26489996910095215,91,10,3,7,6,7,1.5925925925925926
31,True,0.5687782764434814,289,30,6,7,7,5,0.8709677419354839
32,True,0.06863546371459961,30,0,0,0,0,0,0.0
33,True,0.11376786231994629,35,0,0,0,0,0,0.0
34,True,0.32747650146484375,146,12,3,7,4,4,1.161764705882353
35,True,0.1312885284423828,36,0,0,0,0,0,0.0
36,True,0.10025763511657715,56,4,4,3,2,4,1.608695652173913
37,True,0.06899476051330566,30,0,0,0,0,0,0.0
38,True,0.07980561256408691,30,0,0,0,0,0,0.0
39,True,0.07681965827941895,28,0,0,0,0,0,0.0
40,True,0.07053589820861816,29,0,0,0,0,0,0.0
41,True,0.08740901947021484,33,1,1,1,1,1,0.6956521739130435
42,True,0.0940854549407959,34,0,0,0,0,0,0.0
43,True,0.06262040138244629,29,0,0,0,0,0,0.0
44,True,0.3479435443878174,133,12,2,7,3,4,1.2032520325203253
45,True,0.08682751655578613,21,0,0,0,0,0,0.0
46,True,0.142775297164917,56,1,1,1,1,1,0.10869565217391304
47,True,0.13733506202697754,35,0,0,0,0,0,0.0
48,True,0.06530570983886719,28,0,0,0,0,0,0.0
49,True,0.11805009841918945,38,1,1,1,1,1,0.10714285714285714
50,True,0.09394168853759766,29,0,0,0,0,0,0.0
51,True,0.06134486198425293,27,0,0,0,0,0,0.0
52,True,0.07309770584106445,34,1,1,1,1,1,0.4583333333333333
53,True,0.13173174858093262,59,5,3,4,4,3,1.4489795918367347
54,True,0.07071328163146973,31,0,0,0,0,0,0.0
55,True,0.27860331535339355,106,7,3,4,4,4,0.5
56,True,1.0537116527557373,457,40,5,9,6,5,0.9328859060402684
57,True,0.10695552825927734,39,0,0,0,0,0,0.0
58,True,0.06484818458557129,26,0,0,0,0,0,0.0
59,True,0.09009242057800293,45,1,1,1,1,1,0.2
60,True,0.1321263313293457,53,4,3,4,3,3,0.7209302325581395
61,True,0.12410545349121094,48,1,1,1,1,1,0.07894736842105263
62,True,0.14043593406677246,52,4,1,3,2,2,0.19047619047619047
63,True,0.9021203517913818,200,27,3,7,5,7,1.1631578947368422
64,True,0.320620059967041,97,10,3,5,3,5,1.2183908045977012
65,True,0.2013869285583496,76,2,2,2,2,1,0.3181818181818182
66,True,0.08079886436462402,43,2,1,1,1,2,0.45454545454545453
67,True,0.14123296737670898,43,2,2,1,2,2,0.3333333333333333
68,True,0.16089367866516113,42,1,1,1,1,1,0.0625
69,True,0.07019186019897461,33,1,1,1,1,1,0.34782608695652173
70,True,0.07938742637634277,32,0,0,0,0,0,0.0
71,True,0.09469342231750488,24,0,0,0,0,0,0.0
72,True,0.12170219421386719,44,1,1,1,1,1,0.7941176470588235
73,True,0.2485063076019287,93,7,4,3,3,3,0.6626506024096386
74,True,0.14435768127441406,35,1,1,1,1,1,0.24
75,True,0.12524127960205078,62,2,2,2,2,2,0.4423076923076923
76,True,0.16198182106018066,31,0,0,0,0,0,0.0
77,True,0.13589763641357422,54,3,2,3,3,3,1.0909090909090908
78,True,0.0615382194519043,26,0,0,0,0,0,0.0
79,True,0.11893296241760254,60,5,2,4,3,3,1.26
80,True,0.49445152282714844,170,16,5,7,4,5,0.95
81,True,0.06196331977844238,27,0,0,0,0,0,0.0
82,True,0.37003397941589355,134,19,4,8,6,8,1.7661290322580645
83,True,0.07490229606628418,30,0,0,0,0,0,0.0
84,True,0.1429731845855713,40,1,1,1,1,1,0.1
85,True,0.1678152084350586,65,2,2,1,2,2,0.41818181818181815
86,True,0.07967829704284668,35,0,0,0,0,0,0.0
87,True,0.0810546875,32,0,0,0,0,0,0.0
88,True,0.09380078315734863,24,0,0,0,0,0,0.0
89,True,0.056397438049316406,20,0,0,0,0,0,0.0
90,True,0.1555166244506836,48,2,2,2,2,1,0.07894736842105263
91,True,0.2129831314086914,52,7,1,5,3,3,0.4523809523809524
92,True,0.11830902099609375,58,6,3,5,5,4,1.7291666666666667
93,True,0.4297678470611572,183,15,4,7,4,5,1.1791907514450868
94,True,0.11141276359558105,47,1,1,1,1,1,0.13513513513513514
95,True,0.11675810813903809,40,2,2,2,2,2,0.8666666666666667
96,True,0.15747761726379395,40,0,0,0,0,0,0.0
97,True,0.06854629516601562,35,0,0,0,0,0,0.0
98,True,0.17626333236694336,47,1,1,1,1,1,0.21621621621621623
99,True,0.06379938125610352,30,1,1,1,1,1,0.15
100,True,0.06448125839233398,26,0,0,0,0,0,0.0
101,True,0.42769527435302734,199,19,6,7,9,3,1.0740740740740742
102,True,0.10348892211914062,53,2,1,2,2,1,0.5116279069767442
103,True,0.05873227119445801,26,0,0,0,0,0,0.0
104,True,0.1478285789489746,43,1,1,1,1,1,0.7272727272727273
105,True,0.18234968185424805,57,2,2,2,2,1,0.1702127659574468
106,True,0.11763286590576172,55,2,1,2,1,2,0.4222222222222222
107,True,0.1324615478515625,37,0,0,0,0,0,0.0
