,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.13256120681762695,31,0,0,0,0,0,0.0
1,True,0.5909655094146729,228,21,7,6,7,7,0.9311926605504587
2,True,0.06328582763671875,21,0,0,0,0,0,0.0
3,True,0.2897474765777588,131,10,8,4,6,6,0.9917355371900827
4,True,0.07009553909301758,32,0,0,0,0,0,0.0
5,True,0.08461332321166992,38,1,1,1,1,1,0.25
6,True,0.12817144393920898,49,2,1,1,1,1,0.1282051282051282
7,True,0.08141613006591797,48,1,1,1,1,1,0.23684210526315788
8,True,0.17655253410339355,72,8,6,2,4,3,1.1290322580645162
9,True,0.12862062454223633,52,3,3,3,3,1,0.47619047619047616
10,True,0.06598377227783203,28,0,0,0,0,0,0.0
11,True,0.2836763858795166,110,13,5,5,5,4,0.91
12,True,0.5701005458831787,172,14,6,3,5,5,0.7469135802469136
13,True,0.17614984512329102,69,6,5,3,3,3,0.4067796610169492
14,True,0.09472274780273438,55,3,3,3,3,1,0.4888888888888889
15,True,0.08475828170776367,32,1,1,1,1,1,0.6818181818181818
16,True,0.1444392204284668,52,6,3,3,3,6,3.0952380952380953
17,True,0.15219616889953613,65,3,3,2,3,2,0.5454545454545454
18,True,0.1982870101928711,71,5,3,1,3,3,0.7377049180327869
19,True,0.6333539485931396,271,28,8,5,6,5,0.9961685823754789
20,True,0.08883500099182129,27,0,0,0,0,0,0.0
21,True,0.06343340873718262,30,0,0,0,0,0,0.0
22,True,0.40097928047180176,159,15,7,4,6,5,1.1476510067114094
23,True,0.1257612705230713,45,1,1,1,1,1,0.2857142857142857
24,True,0.34056901931762695,131,13,8,4,4,4,0.9421487603305785
25,True,0.08701968193054199,37,1,1,1,1,1,0.14814814814814814
26,True,0.128157377243042,41,1,1,1,1,1,0.12903225806451613
27,True,0.14428496360778809,64,6,5,3,3,3,1.5925925925925926
28,True,0.17954015731811523,59,4,3,2,2,4,1.7346938775510203
29,True,0.06121349334716797,23,0,0,0,0,0,0.0
30,True,0.25504279136657715,109,8,5,3,5,3,0.7171717171717171
31,True,0.6157150268554688,310,31,8,6,5,5,0.9
32,True,0.09688878059387207,30,0,0,0,0,0,0.0
33,True,0.0755167007446289,35,0,0,0,0,0,0.0
34,True,0.7296693325042725,299,33,7,4,6,7,1.0242214532871972
35,True,0.12404251098632812,36,0,0,0,0,0,0.0
36,True,0.10776638984680176,50,2,2,1,2,1,0.85
37,True,0.06891727447509766,30,0,0,0,0,0,0.0
38,True,0.06906867027282715,30,0,0,0,0,0,0.0
39,True,0.060103416442871094,28,0,0,0,0,0,0.0
40,True,0.07000541687011719,29,0,0,0,0,0,0.0
41,True,0.27904772758483887,127,10,5,3,3,3,1.0427350427350428
42,True,0.09334087371826172,34,0,0,0,0,0,0.0
43,True,0.08913946151733398,29,0,0,0,0,0,0.0
44,True,0.3712656497955322,128,14,6,2,3,4,0.6949152542372882
45,True,0.08367228507995605,21,0,0,0,0,0,0.0
46,True,0.13675498962402344,48,1,1,1,1,1,0.39473684210526316
47,True,0.13446617126464844,35,0,0,0,0,0,0.0
48,True,0.06572866439819336,28,0,0,0,0,0,0.0
49,True,0.10333251953125,33,1,1,1,1,1,0.43478260869565216
50,True,0.09334850311279297,29,0,0,0,0,0,0.0
51,True,0.06116223335266113,27,0,0,0,0,0,0.0
52,True,0.10129189491271973,37,1,1,1,1,1,0.07407407407407407
53,True,0.2365555763244629,135,14,8,5,6,4,0.776
54,True,0.06876969337463379,31,0,0,0,0,0,0.0
55,True,0.7013106346130371,282,28,7,4,4,5,0.8161764705882353
56,True,0.1641833782196045,53,7,5,3,3,7,4.255813953488372
57,True,0.07372736930847168,39,0,0,0,0,0,0.0
58,True,0.06471967697143555,26,0,0,0,0,0,0.0
59,True,0.08752679824829102,43,1,1,1,1,1,0.12121212121212122
60,True,0.16923785209655762,63,4,4,4,3,1,0.3584905660377358
61,True,0.09096002578735352,50,1,1,1,1,1,0.375
62,True,0.09499287605285645,40,2,2,2,2,2,1.2
63,True,0.24791884422302246,59,9,3,2,3,8,4.857142857142857
64,True,0.1201634407043457,46,3,2,2,2,3,2.3055555555555554
65,True,0.15688800811767578,45,1,1,1,1,1,0.45714285714285713
66,True,0.07581281661987305,38,2,2,2,2,2,0.4642857142857143
67,True,0.1357424259185791,50,1,1,1,1,1,0.15
68,True,0.12310051918029785,40,1,1,1,1,1,0.7
69,True,0.11411690711975098,38,1,1,1,1,1,0.4642857142857143
70,True,0.07963204383850098,32,0,0,0,0,0,0.0
71,True,0.061223506927490234,24,0,0,0,0,0,0.0
72,True,0.12211179733276367,44,1,1,1,1,1,0.7941176470588235
73,True,0.1895434856414795,86,7,7,4,4,3,1.0
74,True,0.0989995002746582,36,1,1,1,1,1,0.2692307692307692
75,True,0.11178803443908691,45,2,2,2,2,2,0.8
76,True,0.09910106658935547,31,0,0,0,0,0,0.0
77,True,0.13521075248718262,46,3,3,1,2,3,0.5555555555555556
78,True,0.0607450008392334,26,0,0,0,0,0,0.0
79,True,0.11237335205078125,60,3,3,3,2,2,0.7
80,True,0.21755409240722656,77,7,4,3,4,4,0.7164179104477612
81,True,0.0612950325012207,27,0,0,0,0,0,0.0
82,True,0.4125237464904785,122,12,7,3,3,3,0.9285714285714286
83,True,0.07487607002258301,30,0,0,0,0,0,0.0
84,True,0.10710835456848145,38,1,1,1,1,1,0.39285714285714285
85,True,0.16060948371887207,53,2,2,2,2,2,0.16279069767441862
86,True,0.07894015312194824,35,0,0,0,0,0,0.0
87,True,0.08119344711303711,32,0,0,0,0,0,0.0
88,True,0.06373381614685059,24,0,0,0,0,0,0.0
89,True,0.056659698486328125,20,0,0,0,0,0,0.0
90,True,0.18761610984802246,66,1,1,1,1,1,0.2857142857142857
91,True,0.7746660709381104,231,21,7,3,5,6,1.0678733031674208
92,True,0.14168906211853027,57,3,3,2,3,2,0.9148936170212766
93,True,0.21652007102966309,68,10,4,3,3,4,1.793103448275862
94,True,0.12134933471679688,56,2,2,2,2,1,0.4782608695652174
95,True,0.11878561973571777,53,4,3,2,3,2,1.186046511627907
96,True,0.10085344314575195,40,0,0,0,0,0,0.0
97,True,0.06847643852233887,35,0,0,0,0,0,0.0
98,True,0.12263965606689453,45,1,1,1,1,1,0.22857142857142856
99,True,0.06502914428710938,35,1,1,1,1,1,0.24
100,True,0.06392192840576172,26,0,0,0,0,0,0.0
101,True,0.3127257823944092,141,15,7,3,4,5,1.5267175572519085
102,True,0.15160250663757324,70,3,3,3,3,3,0.7666666666666667
103,True,0.05910038948059082,26,0,0,0,0,0,0.0
104,True,0.2067735195159912,66,6,4,2,4,4,2.0
105,True,0.2352132797241211,76,5,3,1,2,4,1.0909090909090908
106,True,0.1050722599029541,48,2,2,2,2,1,0.6842105263157895
107,True,0.10499143600463867,37,0,0,0,0,0,0.0
108,True,0.07221031188964844,34,1,1,1,1,1,0.375
109,True,0.09963035583496094,31,0,0,0,0,0,0.0
110,True,0.08108639717102051,38,1,1,1,1,1,0.6071428571428571
111,True,0.2584986686706543,88,10,8,4,6,7,2.1153846153846154
112,True,0.1275327205657959,42,3,2,1,1,3,2.0
113,True,0.08313441276550293,39,0,0,0,0,0,0.0
114,True,0.13045883178710938,39,0,0,0,0,0,0.0
115,True,0.08198904991149902,40,2,2,2,2,1,0.5
116,True,0.1318953037261963,39,0,0,0,0,0,0.0
117,True,0.07050108909606934,29,0,0,0,0,0,0.0
118,True,0.13596224784851074,40,0,0,0,0,0,0.0
119,True,0.13641715049743652,67,4,3,3,3,2,0.3333333333333333
120,True,0.25054121017456055,110,11,6,5,6,4,0.89
121,True,0.10246777534484863,35,0,0,0,0,0,0.0
122,True,0.08061408996582031,41,1,1,1,1,1,0.4838709677419355
123,True,0.11971831321716309,39,0,0,0,0,0,0.0
124,True,0.09789800643920898,40,0,0,0,0,0,0.0
125,True,0.14171051979064941,47,2,2,2,2,2,0.40540540540540543
126,True,0.08816885948181152,37,0,0,0,0,0,0.0
127,True,0.14861464500427246,47,2,2,1,1,2,0.972972972972973
128,True,0.0841977596282959,36,2,2,2,2,2,1.0384615384615385
129,True,0.07373738288879395,34,0,0,0,0,0,0.0
130,True,0.11642694473266602,60,4,3,3,3,2,0.72
131,True,0.07044410705566406,36,0,0,0,0,0,0.0
132,True,1.7740497589111328,533,73,8,5,8,11,1.2026768642447419
133,True,0.2103276252746582,49,4,4,2,3,4,2.4871794871794872
134,True,0.10736489295959473,45,2,2,2,2,2,0.8571428571428571
135,True,0.17652511596679688,54,1,1,1,1,1,0.045454545454545456
136,True,0.06233668327331543,25,0,0,0,0,0,0.0
137,True,0.2524526119232178,83,10,5,2,3,5,1.2328767123287672
138,True,0.14544057846069336,44,4,4,2,2,4,2.735294117647059
139,True,0.08881974220275879,40,2,2,2,2,2,0.5
140,True,0.21993780136108398,72,7,5,3,4,3,0.3387096774193548
141,True,0.16739606857299805,52,2,2,2,2,2,0.9761904761904762
142,True,0.11646008491516113,72,5,4,4,5,3,0.8225806451612904
143,True,0.11658120155334473,40,1,1,1,1,1,0.06666666666666667
144,True,0.19263625144958496,69,4,3,2,1,3,0.8983050847457628
