,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.13485932350158691,31,0,0,0,0,0,0.0
1,True,2.619837999343872,1103,138,9,9,9,9,1.1976212259835315
2,True,0.06437563896179199,21,0,0,0,0,0,0.0
3,True,0.8603746891021729,330,47,9,9,7,7,1.259375
4,True,0.07031655311584473,32,0,0,0,0,0,0.0
5,True,0.08356809616088867,39,1,1,1,1,1,0.27586206896551724
6,True,0.21218180656433105,95,7,5,4,4,3,0.6352941176470588
7,True,0.11159396171569824,44,3,3,3,3,3,1.9705882352941178
8,True,0.9412741661071777,440,59,7,9,8,10,1.213953488372093
9,True,0.08008265495300293,42,2,2,2,2,2,0.46875
10,True,0.0664365291595459,28,0,0,0,0,0,0.0
11,True,0.12262868881225586,62,5,4,4,5,3,0.5192307692307693
12,True,4.394861221313477,1724,219,9,9,9,9,1.0939323220536756
13,True,0.8687071800231934,352,49,9,9,9,10,1.5847953216374269
14,True,0.08246111869812012,44,1,1,1,1,1,0.17647058823529413
15,True,0.14017248153686523,47,4,4,3,3,4,1.2432432432432432
16,True,0.38156795501708984,165,25,8,6,8,13,1.793548387096774
17,True,0.10480356216430664,50,3,3,3,3,2,0.575
18,True,1.2679524421691895,608,74,8,9,9,6,1.1337792642140467
19,True,2.9532086849212646,1207,150,9,9,9,10,1.1453634085213034
20,True,0.06315779685974121,27,0,0,0,0,0,0.0
21,True,0.06416177749633789,30,0,0,0,0,0,0.0
22,True,1.476407766342163,639,91,9,9,9,11,1.6915739268680445
23,True,0.15516090393066406,45,1,1,1,1,1,0.2857142857142857
24,True,0.27797842025756836,110,19,9,8,7,12,2.45
25,True,0.11236715316772461,36,1,1,1,1,1,0.6538461538461539
26,True,0.09858870506286621,37,2,2,2,1,2,0.8148148148148148
27,True,0.159926176071167,52,6,5,5,5,6,1.880952380952381
28,True,0.32541894912719727,103,15,7,5,6,5,1.2903225806451613
29,True,0.05879545211791992,23,0,0,0,0,0,0.0
30,True,0.519702672958374,259,34,9,9,8,11,1.7228915662650603
31,True,1.4960122108459473,744,97,9,9,9,9,1.1403269754768393
32,True,0.09559869766235352,30,0,0,0,0,0,0.0
33,True,0.07614612579345703,35,0,0,0,0,0,0.0
34,True,0.23285412788391113,96,15,7,7,7,6,1.9651162790697674
35,True,0.12594342231750488,36,0,0,0,0,0,0.0
36,True,0.1788804531097412,90,9,5,5,4,7,1.0375
37,True,0.06792283058166504,30,0,0,0,0,0,0.0
38,True,0.06935596466064453,30,0,0,0,0,0,0.0
39,True,0.08755612373352051,28,0,0,0,0,0,0.0
40,True,0.07171177864074707,29,0,0,0,0,0,0.0
41,True,0.2063157558441162,88,10,5,6,6,6,1.2179487179487178
42,True,0.09464836120605469,34,0,0,0,0,0,0.0
43,True,0.08850383758544922,29,0,0,0,0,0,0.0
44,True,0.2572648525238037,104,13,8,7,5,8,1.9042553191489362
45,True,0.054465293884277344,21,0,0,0,0,0,0.0
46,True,0.16701507568359375,51,2,1,2,1,2,0.7804878048780488
47,True,0.10590863227844238,35,0,0,0,0,0,0.0
48,True,0.06585144996643066,28,0,0,0,0,0,0.0
49,True,0.09062480926513672,54,3,3,3,3,2,0.3409090909090909
50,True,0.11955738067626953,29,0,0,0,0,0,0.0
51,True,0.060843467712402344,27,0,0,0,0,0,0.0
52,True,0.07287001609802246,35,1,1,1,1,1,0.48
53,True,0.365203857421875,210,24,8,9,7,6,0.965
54,True,0.10027122497558594,31,0,0,0,0,0,0.0
55,True,0.4964723587036133,214,26,9,9,8,7,0.9558823529411765
56,True,0.27742481231689453,140,18,8,7,8,5,1.146153846153846
57,True,0.07235217094421387,39,0,0,0,0,0,0.0
58,True,0.06563329696655273,26,0,0,0,0,0,0.0
59,True,0.08283782005310059,40,1,1,1,1,1,0.03333333333333333
60,True,0.14590668678283691,51,2,2,2,2,2,0.6097560975609756
61,True,0.08882808685302734,49,3,2,3,2,2,0.10256410256410256
62,True,0.41674280166625977,300,46,9,9,9,8,1.2
63,True,6.121207237243652,2190,366,9,9,9,13,1.2844036697247707
64,True,2.4262657165527344,1001,128,9,9,9,8,1.0131180625630676
65,True,0.1762855052947998,60,3,3,3,2,3,0.3
66,True,0.07131552696228027,34,3,3,2,3,3,1.75
67,True,0.12813496589660645,42,2,2,2,2,2,0.78125
68,True,0.11186480522155762,37,1,1,1,1,1,0.6666666666666666
69,True,0.07024121284484863,35,2,2,2,2,2,0.76
70,True,0.07951474189758301,32,0,0,0,0,0,0.0
