,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.0693817138671875,31,0,0,0,0,0,0.0
1,True,0.17265701293945312,61,5,3,4,3,2,0.6666666666666666
2,True,0.0561373233795166,21,0,0,0,0,0,0.0
3,True,0.28016066551208496,149,17,2,6,3,4,1.1510791366906474
4,True,0.10427141189575195,32,0,0,0,0,0,0.0
5,True,0.07870006561279297,36,1,1,1,1,1,0.5769230769230769
6,True,0.15265488624572754,46,2,1,1,1,1,0.5
7,True,0.07635927200317383,41,2,1,1,1,1,0.6451612903225806
8,True,0.17132854461669922,85,7,4,6,3,2,0.5466666666666666
9,True,0.08606696128845215,44,2,2,2,1,1,0.17647058823529413
10,True,0.09235143661499023,28,0,0,0,0,0,0.0
11,True,0.1307053565979004,60,6,1,4,2,2,0.46
12,True,0.582634687423706,267,36,2,5,3,4,0.9182879377431906
13,True,0.29144978523254395,119,6,1,3,2,2,0.7706422018348624
14,True,0.13051390647888184,57,6,3,4,3,2,0.5531914893617021
15,True,0.1244814395904541,58,3,1,2,1,2,1.1458333333333333
16,True,0.2733182907104492,105,8,2,5,3,2,0.8947368421052632
17,True,0.09861636161804199,45,2,1,1,1,1,0.2571428571428571
18,True,0.7952415943145752,414,41,3,5,4,6,0.9702970297029703
19,True,0.6742358207702637,301,28,4,6,4,4,1.0240549828178693
20,True,0.06290507316589355,27,0,0,0,0,0,0.0
21,True,0.09903669357299805,30,0,0,0,0,0,0.0
22,True,0.222337007522583,86,8,3,6,3,5,1.6710526315789473
23,True,0.1272425651550293,46,1,1,1,1,1,0.027777777777777776
24,True,0.2520008087158203,101,7,1,3,2,3,0.8131868131868132
25,True,0.08484268188476562,36,1,1,1,1,1,0.15384615384615385
26,True,0.09675407409667969,36,1,1,1,1,1,0.4230769230769231
27,True,0.23743319511413574,78,9,1,3,1,2,0.47058823529411764
28,True,0.20303988456726074,56,4,2,3,2,1,0.2826086956521739
29,True,0.05966997146606445,23,0,0,0,0,0,0.0
30,True,0.10481095314025879,41,1,1,1,1,1,0.7741935483870968
31,True,0.4118335247039795,189,18,3,7,3,5,0.9050279329608939
32,True,0.06728625297546387,30,0,0,0,0,0,0.0
33,True,0.10993790626525879,35,0,0,0,0,0,0.0
34,True,1.0329911708831787,549,75,2,7,3,5,0.8404452690166976
35,True,0.12613296508789062,36,0,0,0,0,0,0.0
36,True,0.10545063018798828,65,4,2,4,2,2,0.7090909090909091
37,True,0.09832620620727539,30,0,0,0,0,0,0.0
38,True,0.0682835578918457,30,0,0,0,0,0,0.0
39,True,0.06243395805358887,28,0,0,0,0,0,0.0
40,True,0.104827880859375,29,0,0,0,0,0,0.0
41,True,0.2480790615081787,107,12,1,4,2,3,0.9896907216494846
42,True,0.0931394100189209,34,0,0,0,0,0,0.0
43,True,0.09088635444641113,29,0,0,0,0,0,0.0
44,True,0.6172082424163818,277,27,3,7,3,3,0.7940074906367042
45,True,0.054795265197753906,21,0,0,0,0,0,0.0
46,True,0.15644431114196777,54,1,1,1,1,1,0.13636363636363635
47,True,0.15228533744812012,35,0,0,0,0,0,0.0
48,True,0.06501126289367676,28,0,0,0,0,0,0.0
49,True,0.07675814628601074,34,1,1,1,1,1,0.4583333333333333
50,True,0.09317159652709961,29,0,0,0,0,0,0.0
51,True,0.10388660430908203,27,0,0,0,0,0,0.0
52,True,0.10144376754760742,35,1,1,1,1,1,0.04
53,True,0.30896496772766113,154,18,2,6,2,4,0.9652777777777778
54,True,0.09717082977294922,31,0,0,0,0,0,0.0
55,True,0.1353132724761963,48,1,1,1,1,1,0.6052631578947368
56,True,0.2649574279785156,100,10,2,4,2,3,0.7111111111111111
57,True,0.07273030281066895,39,0,0,0,0,0,0.0
58,True,0.0651395320892334,26,0,0,0,0,0,0.0
59,True,0.10892319679260254,40,1,1,1,1,1,0.03333333333333333
60,True,0.1205594539642334,54,5,3,4,3,4,1.1363636363636365
61,True,0.11487913131713867,47,1,1,1,1,1,0.13513513513513514
62,True,0.20144891738891602,69,6,1,3,2,2,0.9152542372881356
63,True,0.4836428165435791,149,18,2,4,2,3,0.920863309352518
64,True,1.5883080959320068,901,114,4,7,4,5,0.8900112233445566
65,True,0.16348600387573242,46,1,1,1,1,1,0.4722222222222222
66,True,0.07969546318054199,44,2,1,2,1,1,0.6470588235294118
67,True,0.1281430721282959,40,1,1,1,1,1,0.36666666666666664
68,True,0.11472392082214355,40,1,1,1,1,0,0.0
69,True,0.1215057373046875,36,1,1,1,1,1,0.4230769230769231
70,True,0.12676358222961426,32,0,0,0,0,0,0.0
71,True,0.060976505279541016,24,0,0,0,0,0,0.0
72,True,0.15317702293395996,45,1,1,1,1,1,0.02857142857142857
73,True,0.12482118606567383,49,2,1,2,2,2,0.6153846153846154
74,True,0.1528935432434082,39,1,1,1,1,1,0.10344827586206896
75,True,0.14852499961853027,57,2,2,2,2,1,0.5319148936170213
76,True,0.09904813766479492,31,0,0,0,0,0,0.0
77,True,0.1718425750732422,48,5,2,3,2,2,0.2631578947368421
78,True,0.060483455657958984,26,0,0,0,0,0,0.0
79,True,0.12358617782592773,39,1,1,1,1,1,0.41379310344827586
80,True,0.7029778957366943,320,39,3,5,4,4,0.9290322580645162
81,True,0.06128239631652832,27,0,0,0,0,0,0.0
82,True,2.4106826782226562,1096,137,4,7,5,7,0.8904235727440147
83,True,0.10519719123840332,30,0,0,0,0,0,0.0
84,True,0.10874724388122559,40,1,1,1,1,1,0.06666666666666667
85,True,0.1608130931854248,64,4,2,3,2,2,0.42592592592592593
86,True,0.07853198051452637,35,0,0,0,0,0,0.0
87,True,0.08025288581848145,32,0,0,0,0,0,0.0
88,True,0.06294083595275879,24,0,0,0,0,0,0.0
89,True,0.05610060691833496,20,0,0,0,0,0,0.0
90,True,0.1473860740661621,59,2,1,2,1,1,0.32653061224489793
