,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.13123035430908203,31,0,0,0,0,0,0.0
1,True,0.39841508865356445,123,11,4,5,4,4,1.0442477876106195
2,True,0.05634737014770508,21,0,0,0,0,0,0.0
3,True,0.16742968559265137,49,2,2,1,1,2,1.0256410256410255
4,True,0.07205629348754883,32,0,0,0,0,0,0.0
5,True,0.12453913688659668,36,1,1,1,1,1,0.5769230769230769
6,True,0.13254213333129883,45,2,2,2,2,2,0.9428571428571428
7,True,0.11468219757080078,48,1,1,1,1,1,0.23684210526315788
8,True,0.4753684997558594,189,14,6,6,4,5,1.1620111731843576
9,True,0.15073490142822266,62,5,3,4,4,3,0.7692307692307693
10,True,0.06606459617614746,28,0,0,0,0,0,0.0
11,True,0.19123101234436035,47,4,3,3,1,2,0.8108108108108109
12,True,0.31060028076171875,85,6,3,3,1,3,1.4533333333333334
13,True,0.6945385932922363,231,22,9,7,7,5,0.7375565610859729
14,True,0.13225603103637695,54,3,3,2,3,2,0.75
15,True,0.15227842330932617,51,5,5,4,3,5,2.8536585365853657
16,True,0.18463540077209473,51,2,2,2,2,2,0.6341463414634146
17,True,0.09037303924560547,37,1,1,1,1,1,0.6666666666666666
18,True,0.25257253646850586,92,10,5,5,4,5,1.1829268292682926
19,True,0.8018803596496582,257,27,6,7,6,5,0.9311740890688259
20,True,0.06258225440979004,27,0,0,0,0,0,0.0
21,True,0.06512594223022461,30,0,0,0,0,0,0.0
22,True,0.4695394039154053,151,12,3,4,2,4,1.3404255319148937
23,True,0.15769338607788086,45,1,1,1,1,1,0.2857142857142857
24,True,0.1612699031829834,38,2,2,1,2,2,0.9642857142857143
25,True,0.10167360305786133,42,1,1,1,1,1,0.1875
26,True,0.13391733169555664,41,1,1,1,1,1,0.16129032258064516
27,True,0.1621840000152588,46,4,1,2,1,2,1.4444444444444444
28,True,0.26880526542663574,87,4,3,4,2,3,0.7402597402597403
29,True,0.08736824989318848,23,0,0,0,0,0,0.0
30,True,0.790153980255127,226,26,5,7,5,6,0.9212962962962963
31,True,0.462738037109375,167,17,8,8,5,3,1.0955414012738853
32,True,0.07038402557373047,30,0,0,0,0,0,0.0
33,True,0.07644081115722656,35,0,0,0,0,0,0.0
34,True,0.29337573051452637,99,7,5,3,3,4,0.6292134831460674
35,True,0.09579062461853027,36,0,0,0,0,0,0.0
36,True,0.10672974586486816,45,3,2,3,2,3,1.4
37,True,0.06866121292114258,30,0,0,0,0,0,0.0
38,True,0.06987643241882324,30,0,0,0,0,0,0.0
39,True,0.08919882774353027,28,0,0,0,0,0,0.0
40,True,0.07146644592285156,29,0,0,0,0,0,0.0
41,True,0.10313057899475098,38,1,1,1,1,1,0.75
42,True,0.09504413604736328,34,0,0,0,0,0,0.0
43,True,0.06247591972351074,29,0,0,0,0,0,0.0
44,True,0.29583740234375,80,9,4,5,3,4,1.8285714285714285
45,True,0.05448603630065918,21,0,0,0,0,0,0.0
46,True,0.15114879608154297,54,1,1,1,1,1,0.13636363636363635
47,True,0.13819074630737305,35,0,0,0,0,0,0.0
48,True,0.06573271751403809,28,0,0,0,0,0,0.0
49,True,0.11822056770324707,37,1,1,1,1,1,0.1111111111111111
50,True,0.09307360649108887,29,0,0,0,0,0,0.0
51,True,0.06121659278869629,27,0,0,0,0,0,0.0
52,True,0.10590982437133789,34,1,1,1,1,1,0.4583333333333333
53,True,0.2032454013824463,96,11,7,5,7,5,1.1162790697674418
54,True,0.06911301612854004,31,0,0,0,0,0,0.0
55,True,0.4215514659881592,129,10,3,5,2,6,0.7058823529411765
56,True,0.2739419937133789,79,9,5,5,3,5,2.391304347826087
57,True,0.07403850555419922,39,0,0,0,0,0,0.0
58,True,0.06475973129272461,26,0,0,0,0,0,0.0
59,True,0.11863827705383301,38,1,1,1,1,1,0.4642857142857143
60,True,0.15797019004821777,75,6,5,4,6,3,1.0769230769230769
61,True,0.12794113159179688,45,2,1,1,1,2,0.37142857142857144
62,True,0.2450089454650879,62,7,3,3,1,4,0.8846153846153846
63,True,0.42141246795654297,85,8,3,3,1,5,2.013333333333333
64,True,0.26633238792419434,57,6,3,4,2,3,1.9787234042553192
65,True,0.21686506271362305,58,2,2,2,2,2,0.8541666666666666
66,True,0.08582234382629395,37,2,2,2,2,2,1.1851851851851851
67,True,0.13954472541809082,48,1,1,1,1,1,0.15789473684210525
68,True,0.14591693878173828,48,1,1,1,1,1,0.21052631578947367
69,True,0.10132765769958496,36,1,1,1,1,1,0.11538461538461539
70,True,0.0799405574798584,32,0,0,0,0,0,0.0
71,True,0.0615994930267334,24,0,0,0,0,0,0.0
72,True,0.14104437828063965,45,1,1,1,1,1,0.02857142857142857
73,True,0.14881682395935059,50,3,3,2,3,3,1.45
74,True,0.10311222076416016,40,1,1,1,1,1,0.13333333333333333
75,True,0.17128944396972656,69,3,3,2,3,3,0.6610169491525424
76,True,0.09909296035766602,31,0,0,0,0,0,0.0
77,True,0.22019648551940918,66,3,1,2,1,2,0.21428571428571427
78,True,0.06099891662597656,26,0,0,0,0,0,0.0
79,True,0.14920926094055176,99,8,5,6,6,5,0.9438202247191011
80,True,0.2511591911315918,60,7,1,6,2,7,1.78
81,True,0.06161928176879883,27,0,0,0,0,0,0.0
82,True,0.3479022979736328,113,11,5,8,4,3,0.8252427184466019
83,True,0.104339599609375,30,0,0,0,0,0,0.0
84,True,0.11194944381713867,38,1,1,1,1,1,0.39285714285714285
85,True,0.15365219116210938,46,1,1,1,1,1,0.4166666666666667
86,True,0.07952666282653809,35,0,0,0,0,0,0.0
87,True,0.11468052864074707,32,0,0,0,0,0,0.0
88,True,0.06410479545593262,24,0,0,0,0,0,0.0
89,True,0.06280374526977539,20,0,0,0,0,0,0.0
90,True,0.18871045112609863,50,1,1,1,1,1,0.725
91,True,0.3289775848388672,77,6,3,4,2,3,0.9701492537313433
92,True,0.1657700538635254,55,5,4,4,4,4,1.0666666666666667
93,True,0.3545529842376709,127,11,6,4,4,5,1.0854700854700854
94,True,0.15583443641662598,48,2,2,2,1,2,0.34210526315789475
95,True,0.08551383018493652,40,2,1,2,2,2,0.9666666666666667
96,True,0.10044121742248535,40,0,0,0,0,0,0.0
97,True,0.06908130645751953,35,0,0,0,0,0,0.0
98,True,0.13080906867980957,46,1,1,1,1,1,0.2777777777777778
99,True,0.06776738166809082,37,1,1,1,1,1,0.2222222222222222
100,True,0.06361722946166992,26,0,0,0,0,0,0.0
101,True,0.3547961711883545,141,11,4,4,4,4,1.1221374045801527
102,True,0.15982985496520996,68,3,2,3,3,3,0.5689655172413793
103,True,0.059609413146972656,26,0,0,0,0,0,0.0
104,True,0.16273808479309082,43,1,1,1,1,1,0.7272727272727273
105,True,0.3771841526031494,104,11,4,5,3,4,1.4787234042553192
106,True,0.1846621036529541,58,3,1,2,1,2,0.4375
107,True,0.10457134246826172,37,0,0,0,0,0,0.0
108,True,0.07595443725585938,37,1,1,1,1,1,0.14814814814814814
109,True,0.07193112373352051,31,0,0,0,0,0,0.0
110,True,0.11852598190307617,38,1,1,1,1,1,0.6071428571428571
111,True,0.8256266117095947,253,30,7,6,5,4,0.7901234567901234
112,True,0.1470811367034912,50,2,2,2,2,1,0.475
113,True,0.08485937118530273,39,0,0,0,0,0,0.0
114,True,0.13280105590820312,39,0,0,0,0,0,0.0
115,True,0.10282635688781738,56,2,2,2,2,2,0.5
116,True,0.13624787330627441,39,0,0,0,0,0,0.0
117,True,0.07072567939758301,29,0,0,0,0,0,0.0
118,True,0.14351415634155273,40,0,0,0,0,0,0.0
119,True,0.13768720626831055,56,3,2,3,3,1,0.41304347826086957
120,True,0.3952803611755371,127,15,5,6,7,6,1.735042735042735
121,True,0.07303357124328613,35,0,0,0,0,0,0.0
122,True,0.0871427059173584,43,1,1,1,1,1,0.5151515151515151
123,True,0.08376049995422363,39,0,0,0,0,0,0.0
124,True,0.09945106506347656,40,0,0,0,0,0,0.0
125,True,0.1118018627166748,49,2,2,2,2,1,0.3333333333333333
126,True,0.08963227272033691,37,0,0,0,0,0,0.0
127,True,0.16909122467041016,96,5,3,3,3,3,0.5581395348837209
128,True,0.1404869556427002,52,1,1,1,1,1,0.2619047619047619
129,True,0.07459163665771484,34,0,0,0,0,0,0.0
130,True,0.19440197944641113,65,5,3,3,2,3,0.43636363636363634
131,True,0.07114267349243164,36,0,0,0,0,0,0.0
132,True,0.6324052810668945,152,18,7,6,4,6,1.0704225352112675
133,True,0.8057501316070557,209,17,5,3,2,4,0.8040201005025126
134,True,0.11240339279174805,43,1,1,1,1,1,0.48484848484848486
135,True,0.15665555000305176,58,1,1,1,1,1,0.22916666666666666
136,True,0.06769013404846191,25,0,0,0,0,0,0.0
137,True,0.2981245517730713,84,6,4,3,2,2,0.4864864864864865
138,True,0.9787216186523438,439,41,5,9,5,6,0.9813519813519813
139,True,0.09873199462890625,42,1,1,1,1,1,0.25
140,True,0.5300219058990479,152,15,7,5,5,6,0.8802816901408451
141,True,0.1552727222442627,48,2,2,2,2,2,0.9210526315789473
142,True,0.1954669952392578,96,10,4,5,3,3,0.686046511627907
