,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
0,True,0.1336836814880371,31,0,0,0,0,0,0.0
1,True,0.15143442153930664,71,4,3,3,2,2,0.7540983606557377
2,True,0.11627674102783203,21,0,0,0,0,0,0.0
3,True,1.2378151416778564,519,59,2,9,3,7,1.0864440078585462
4,True,0.10274004936218262,32,0,0,0,0,0,0.0
5,True,0.08159375190734863,37,1,1,1,1,1,0.5925925925925926
6,True,0.16153478622436523,49,3,1,3,2,3,0.20512820512820512
7,True,0.09981060028076172,57,5,1,5,3,5,1.2127659574468086
8,True,0.6819193363189697,291,33,4,9,5,9,1.4555160142348755
9,True,0.08670496940612793,43,3,2,3,2,2,0.7272727272727273
10,True,0.06612706184387207,28,0,0,0,0,0,0.0
11,True,0.09264731407165527,42,2,1,2,2,2,0.6875
12,True,1.849841833114624,595,71,1,9,3,6,1.12991452991453
13,True,0.5051517486572266,183,15,2,7,3,5,0.9421965317919075
14,True,0.09151434898376465,53,5,3,3,4,5,1.372093023255814
15,True,0.3131999969482422,119,11,1,6,3,5,0.8715596330275229
16,True,0.17627787590026855,65,7,2,4,2,7,2.618181818181818
17,True,0.09051775932312012,38,2,1,2,2,1,0.6428571428571429
18,True,1.0516352653503418,630,65,3,9,6,7,0.964516129032258
19,True,0.3972647190093994,152,15,3,7,4,4,1.1549295774647887
20,True,0.06399250030517578,27,0,0,0,0,0,0.0
21,True,0.06347203254699707,30,0,0,0,0,0,0.0
22,True,0.37018871307373047,143,15,3,6,3,4,0.8872180451127819
23,True,0.1275804042816162,45,1,1,1,1,1,0.2857142857142857
24,True,0.16338539123535156,59,4,1,3,2,3,0.6122448979591837
25,True,0.1135704517364502,37,1,1,1,1,1,0.14814814814814814
26,True,0.10073685646057129,40,1,1,1,1,1,0.13333333333333333
27,True,0.26505517959594727,99,14,1,6,2,6,0.9101123595505618
28,True,0.19036269187927246,72,5,2,4,2,2,0.27419354838709675
29,True,0.059454917907714844,23,0,0,0,0,0,0.0
30,True,0.7369160652160645,294,38,4,8,4,8,1.3380281690140845
31,True,0.2633233070373535,100,11,3,6,3,4,0.8333333333333334
32,True,0.06699347496032715,30,0,0,0,0,0,0.0
33,True,0.10858631134033203,35,0,0,0,0,0,0.0
34,True,0.809931755065918,353,47,2,9,3,10,1.1457725947521866
35,True,0.1298232078552246,36,0,0,0,0,0,0.0
36,True,0.21464180946350098,94,8,2,6,3,6,1.1666666666666667
37,True,0.0688326358795166,30,0,0,0,0,0,0.0
38,True,0.06958699226379395,30,0,0,0,0,0,0.0
39,True,0.09416389465332031,28,0,0,0,0,0,0.0
40,True,0.07043123245239258,29,0,0,0,0,0,0.0
41,True,0.2997477054595947,119,14,2,6,3,4,1.1559633027522935
42,True,0.12408804893493652,34,0,0,0,0,0,0.0
